avgDeathsPerYear,TARGET_deathRate,incidenceRate,medIncome,povertyPercent,studyPerCap,MedianAge,AvgHouseholdSize,PercentMarried,PctPrivateCoverage,PctPublicCoverage,BirthRate,region
19,139.8,381.8,38204,16.7,0,49.1,2.35,55.3,59.8,45.3,7.611940299,South
21,213.3,458.9,44801,16.5,0,43.6,2.43,55,71.6,36.8,2.966381015,South
23,176.8,384.8,34341,17.6,0,48.4,2.24,56.4,60,44.9,4.256631709,South
73,169.8,435.3,41420,17.6,0,42.3,2.52,53.3,63.5,39.3,4.038301415,South
114,171.5,497.2,59472,10,211.0892204,41,2.6,57.4,73.6,31.2,6.034482759,South
206,198.2,469.6,40270,17.7,12.90156109,41.6,2.4,51.3,60.6,44.6,3.77850558,South
68,168.6,405.2,37468,20.8,0,43.2,2.35,52.2,59.6,43.3,4.231027535,South
32,214.7,502,46383,17.7,0,45.2,2.56,49.5,57.4,46.9,6.267539757,South
41,204,449.2,33041,23.1,0,44.2,2.48,53.9,51.6,51.8,2.353331124,South
36,170.4,377.1,32456,25.8,0,46.3,2.22,53.5,60.2,49.6,3.812668868,South
39,172.2,400.9,40305,16.8,0,43,2.45,52.3,63.7,42.6,6.801152738,South
19,168.1,528.4,36466,17.1,0,47.7,2.26,60.5,68,39.3,3.868613139,South
27,199.1,468.3,41019,15.8,0,46.2,2.48,53.5,62.3,43,1.988950276,South
60,189.5,453.7,38387,19.7,0,41.8,2.57,51.5,59.7,40.2,5.300938708,South
102,183.8,433.2,37242,20,24.40750775,42.5,2.47,48.9,54.6,45.6,4.112005292,South
33,259.5,511.9,29331,26.1,114.2204455,46.3,2.28,54.1,45.1,53.3,4.203539823,South
50,202.6,514.6,40013,18.5,0,46,2.46,51.4,63.5,44.6,6.161137441,South
14,185.8,455.3,38600,20.3,0,45,2.4,52.2,61.6,41.4,5.968928863,South
217,185.5,488.8,41932,17.2,173.5066858,42.5,2.37,51.1,63,42,6.23870268,South
69,235.4,447.8,34419,22.8,0,42.8,2.48,55.7,54.6,49.9,6.018614271,South
73,206,467.9,42063,17.8,0,51.4,2.47,50.9,63.9,50.8,3.861129137,Midwest
45,217.5,451.5,41294,14.9,0,42.2,2.29,45.9,62.7,42.5,6.460336538,Midwest
112,168.4,412.1,46375,13.7,1097.381647,43.9,2.35,55.8,68.4,39.2,5.884312202,Midwest
42,171.7,369.9,44395,13.6,0,50.8,2.16,58.5,65.9,44.1,5.547054323,Midwest
406,158.6,479.1,54141,12,1213.676667,36.8,2.46,51.4,72.5,30,5.921762149,Midwest
33,166.4,385.7,50998,10.5,151.6070346,45,2.29,59,73.4,34.5,7.17472119,Midwest
50,190.1,399.2,41810,16.5,0,50.9,2.08,59,64.2,48.2,4.96054115,Midwest
79,157.9,474.1,68430,5.9,0,39,2.66,62,84.1,22.4,4.330985915,Midwest
123,160.1,482.4,52485,10.7,487.9507642,40.6,2.44,55.6,73.4,33.9,5.497771174,Midwest
70,157.6,455.2,45316,16,0,37.1,2.65,58.2,56.6,34,9.86429301,Midwest
123,176.6,476.1,59020,8.8,0,42,2.44,54.9,78.2,29.4,4.654466449,Midwest
43,176.4,466.4,43562,14.7,122.0181807,45.9,2.38,52.3,67.4,41,5.300353357,Midwest
707,153.8,430.7,61937,13.4,129.8594653,34.6,2.35,47.5,82.5,22.6,4.458527742,Midwest
201,178.9,437.3,54359,9.9,0,42,2.51,51.1,77.7,30.3,4.49736915,Midwest
77,158.7,449.3,49717,11,1778.326196,51.7,2.11,62.6,75.8,39.5,4.481380181,Midwest
104,192.8,354.7,46475,13.9,0,40.6,2.28,47.6,66.5,37.9,6.150455775,Midwest
72,155.6,396.1,52224,13.9,0,34.1,2.48,47.6,72.4,32.3,5.116736739,Midwest
177,163.4,440.9,48102,14.4,675.7749376,33.8,2.43,46.4,74.8,29.4,4.346348463,Midwest
13,171.9,308.2,44562,12.8,0,51.1,2.32,59.9,68.9,41.8,3.462050599,Midwest
206,159.4,477,52149,9.9,235.3564179,41,2.4,54.8,77.1,30.6,4.541733098,Midwest
25,166.4,490.6,41418,17,4306.06161,45.3,2.33,52.8,59.8,43.9,7.250418293,Midwest
108,166.9,428.2,46972,15,0,36.1,2.44,48.6,74.8,30.4,5.174434328,Midwest
74,158.4,420,53328,8.7,0,42.2,2.47,56.7,78.2,30.2,5.46031746,Midwest
15,169.9,356.1,40351,16,191.5708812,46.1,2.29,56.5,64.9,38.3,5.360824742,Midwest
10,187.4,400.6,43883,12.1,0,49.5,2.21,61,75.6,35.3,7.992565056,Midwest
10,138.2,221.5,55955,9.2,0,38.8,2.61,62.7,76.1,28,5.678233438,Midwest
13,120.2,432.5,49517,10.7,0,48.9,2.15,67,74,36.1,6.35451505,Midwest
14,215,453.6,41344,34,0,28.6,3.3,40.9,39.9,39.1,8.467741935,Midwest
12,156.3,350.1,44726,12.3,0,46,2.21,64.2,70.5,38.3,5.01285347,Midwest
39,159.2,431.4,69191,7.4,0,41.2,2.48,63.5,82.4,22.9,5.725611099,Midwest
15,142.1,392,53290,13.6,0,30.1,2.33,53.9,82.7,22.2,5.981533521,Midwest
12,162.7,495.5,40979,12.7,0,47.5,2.31,57.2,69.1,38.3,3.524229075,Midwest
33,164.7,389.2,51335,10.6,0,41.3,2.31,56.5,77.4,28.9,6.993486459,Midwest
62,211,453.5494221,46840,13.2,0,38.9,2.51,51.6,63,37,7.724034496,West
3120,167.7,453.5494221,51241,15.6,405.2390745,36.4,2.78,44.6,62.9,27.3,5.125073246,West
108,145.2,453.5494221,60322,10.3,0,49.4,2.37,58.9,70.7,35.8,5.193753615,West
55,143.2,453.5494221,72648,10.8,0,33.5,2.87,56.6,73,18.5,6.700733537,West
4,262.1,453.5494221,47180,14,0,46.5,2.35,44.3,56.5,37.1,4.326923077,West
4,178.7,453.5494221,70535,9.8,0,43.9,2.17,64.7,76.4,18.6,2.412868633,West
27,191.5,453.5494221,67423,10.7,0,35.3,2.74,51.6,69.4,20.6,5.517423442,West
7,123.8,453.5494221,74347,11,0,37.2,2.79,54.3,69.1,24.4,11.63179916,West
9,127.4,453.5494221,45629,15.1,0,37.4,2.55,56.8,64.1,31.5,4.519774011,West
124,195.7,453.5494221,48576,13.7,0,43.2,2.63,51.1,61.1,37.5,4.62962963,West
20,254.3,453.5494221,40714,19,0,48.7,0.0225,41.8,58.1,43.2,9.518477044,West
154,213.5,453.5494221,42881,16.8,0,50.8,0.0242,54.4,53.1,48.2,6.302577113,West
9,121.8,453.5494221,52001,18.5,0,41.3,2.29,44.8,59.9,34.7,14.62113127,West
7,132.6,453.5494221,55291,8.4,0,54.7,2.2,53.5,68.5,34.1,1.17820324,West
727,166,453.5494221,52862,15.4,170.0592746,37.6,2.58,47,65.4,28.1,5.642578635,West
23,188.4,453.5494221,57243,13.7,0,39.4,2.71,44.8,67.6,31.9,5.470459519,West
145,193.5,453.5494221,45639,19.3,36.68311293,42.6,2.43,45.1,61.3,35.6,4.262413265,West
151,182.6,508.6,59831,10,329.8098646,46.1,2.42,54.2,69.6,33.9,4.824422651,Northeast
133,168.8,481.8,57556,10.7,0,50.3,2.22,59.4,70,36.4,7.381867511,Northeast
156,162.8,489.4,56008,11.8,13.17366847,42,2.34,48.4,75,28.7,4.687933426,Northeast
93,181.6,459.2,42491,14.9,32.03895937,48.1,2.13,51.5,61.8,43.5,5.975049245,Northeast
178,155,435.5,56353,11.6,78.36990596,41.9,2.35,48.5,72.3,29.4,6.078496198,Northeast
694,163.2,482.2,71233,8.7,105.7347582,40.1,2.55,51.4,76.7,25.2,5.055576216,Northeast
309,173.1,507.6,62429,9.5,378.3937187,42.6,2.49,51.5,76.3,28.3,3.901815696,Northeast
570,172.2,518.8,79653,6.1,72.90151337,43.5,2.51,56.8,82.7,22.3,4.370734571,Northeast
227,177.6,502.6,58577,11.8,94.61856889,37.2,2.48,46.8,74.8,26.2,3.681800261,Northeast
102,171.9,475.7,57142,10.4,0,45.1,2.44,50.9,69.6,33.3,3.657874742,Northeast
584,179.5,505.5,54208,15.1,43.76064386,40.6,2.64,45.1,66.9,33.4,4.69661296,Northeast
1722,147.3,468.1,84309,7.6,330.3122196,41.5,2.73,54.2,75.5,23.3,4.077070131,Northeast
914,171.6,531.8,80479,7.2,446.4424533,41,2.66,50.8,81.4,25.7,4.910516481,Northeast
1039,182.8,530.9,61685,13,972.7493184,38.3,2.71,44.7,68.3,31.9,5.434939238,Northeast
314,193.1,559.1,55409,13,179.4630887,48.3,2.3,53.4,72.1,38.2,5.43325019,Northeast
317,189.6,511.3,45438,19.5,128.3252275,36.9,2.86,39.6,59.4,38.4,5.846434788,Northeast
1272,161.8,450.6,54603,16.7,137.9424504,36.9,2.77,39.1,59.9,31.7,5.084469955,Northeast
602,193.5,544.2,78983,8.2,106.3541456,39.6,2.74,51.7,78,26.2,4.878014043,Northeast
876,152.6,399.5,57720,17.7,1.481841514,34.7,2.63,41.5,56.5,29.6,5.344239425,Northeast
210,145.1,496.3,103876,4.7,47.81333673,45,2.6,57.7,87.5,20.5,4.22223833,Northeast
648,160.3,504.7,73750,11.8,96.93105509,38.4,2.69,47.2,73.1,27.4,4.725836381,Northeast
1357,156.7,466.7,77330,8.3,89.19015341,37.7,2.85,51.6,74.6,23,5.074989438,Northeast
1269,168.6,529.6,87220,8.2,146.3302132,42.3,2.67,53.2,78.8,24.2,4.571872443,Northeast
884,150.3,488.5,100511,5,122.1199218,42,2.72,56.7,84,19.8,3.635690867,Northeast
1607,174.2,524.9,62937,11.9,62.84810632,42.8,2.59,53.6,70.9,38.5,6.13243835,Northeast
827,159.1,448.4,58030,18.2,60.67533606,36.5,3.09,44.3,55.8,35.3,4.533343875,Northeast
164,194.8,516.6,56645,13.1,62.32471175,41.8,2.61,48.7,69.1,35.2,5.98109071,Northeast
549,153.3,471,100194,5,329.6828451,40.8,2.81,56.6,82.2,19.2,4.842990108,Northeast
281,176.4,493.1,82048,6.2,132.2447502,43.4,2.67,55.9,80.9,22.2,4.625184917,Northeast
909,155.6,463,68172,11.1,25.18955137,38.1,2.91,46.5,65.9,27.5,5.746896424,Northeast
227,175.1,485.9,71294,8.3,28.0717514,42.6,2.52,54.5,76.9,26.3,4.839230894,Northeast
1031,147.1,404.1,47192,18.7,294.0807022,36.5,2.52,43.7,58.5,37.7,5.264795797,West
10,164.7,375.5,33256,22.2,0,57.1,2.44,49.4,62.3,44.3,0.689655172,West
123,164.5,375.8,38403,23.4,0,34.8,2.72,48.1,49.6,44.9,8.496374333,West
42,146.5,375.5,35081,28.8,0,36.2,2.98,38.1,40.4,50.4,6.744769874,West
30,139.9,377.4,37156,20.5,0,47.6,2.26,48.3,57.1,50,5.741042345,West
66,143.8,336.5,42620,19.2,0,30.7,2.72,48.7,56.9,38.7,7.197033541,West
8,243.6,467.1,33789,20.6,0,47.3,3.84,27.6,53.4,49.3,0,West
319,150.8,381,38974,27.9,111.9951469,32.4,2.8,46.2,49.6,43.5,5.880465757,West
107,170.8,391.3,57007,14.1,0,36.5,2.66,50.3,62.3,34.9,9.558702453,West
76,159.4,366.5,38221,19.1,454.4024608,46.5,2.37,45.8,57,52.6,5.998550199,West
8,142.8,361.2,29147,25.8,0,41.6,3.28,33.7,60.6,50.5,3.558718861,West
11,166.3,357,34304,24.5,678.2726656,41.8,2.47,46.1,42.7,51.9,5.485232068,West
99,166.2,357.1,58994,16.6,0,31.8,3.08,53.3,55.6,33.4,7.530333184,West
41,123.4,363.9,39995,20.1,1287.332647,50.4,2.33,52.2,54.5,51.7,8.532518066,West
27,114.5,406.2,108477,4.2,0,43.5,2.34,65.5,89.6,21.2,5.543652919,West
64,181.8,420.6,27268,30.6,0,39,2.7,47.1,37.5,55.1,8.62924023,West
82,137.7,332.9,29497,35.8,0,30.8,3.97,33.5,25,47.9,7.322096363,West
10,134.3,359,27627,24.2,0,42.6,2.81,41.2,27.8,62.7,1.084812623,West
122,161.1,393,41736,20.2,15.53711818,35.6,2.63,49.1,53.2,47.2,8.221797323,West
27,190.6,412.7,29069,23.9,0,45.7,2.59,45,54.8,51.2,4.063068526,West
71,155.5,351.8,34902,24.1,0,40.1,2.86,41.9,48.8,42.5,3.902327704,West
32,163.5,360.7,36108,24,0,29.4,2.62,45.1,54.7,40,4.392712551,West
166,136.7,356.1,47520,21,202.1273908,34.2,3.04,46.6,50.4,37.1,6.09617959,West
57,158.2,355.6,32964,25.5,0,42.5,2.51,33,46.4,48.1,5.744748568,West
231,126.1,374.3,52628,14.2,60.53024495,44.4,2.35,47.6,60.1,35.9,4.017424976,West
47,190.3,424.2,29036,23.8,0,55.6,2.25,47.9,50.8,57.6,8.198614319,West
34,167.8,404.4,32285,31,0,36.8,3.43,28.5,50.5,47.1,2.688172043,West
62,135.2,339,36125,19.2,0,46.8,2.44,42.4,47.3,50.3,4.706601467,West
32,164.3,558.5,37311,27.6,64.57862448,43.3,2.81,49.1,42,52.1,2.98792117,West
9,151.6,303,36684,19.4,0,40.3,2.39,44.5,48.2,44.4,3.536585366,West
133,163.1,402.3,40591,24.5,330.0896524,38.5,2.78,49.2,52.6,46.1,6.407674997,West
637,176.1,505.9,60371,13.5,420.193871,37.9,2.35,40.8,77.7,30.1,3.774039071,Northeast
105,177.2,490.7,42655,18.3,0,38.3,2.36,47.6,67.8,38.7,4.844731809,Northeast
2059,162,455.3,33687,31.5,241.1635212,33.2,2.86,31,43.1,52,5.67890152,Northeast
442,163.6,494.4,46283,17.2,106.8338022,39.9,2.37,43.8,69.2,38.9,4.2987606,Northeast
171,167.9,517.8,43892,16.2,0,41.4,2.41,48.7,67.3,39.8,4.82052462,Northeast
163,158.6,470.8,52792,12.7,102.1867975,42.5,0.0243,46.8,71,36.2,5.470136014,Northeast
315,173.2,550.1,41757,19.3,267.6270655,41.7,2.36,47,66.5,41,6.073151538,Northeast
214,183.8,508.2,48880,18.2,195.2429626,40.9,2.35,48.3,68.8,39,5.089635277,Northeast
121,180.3,512.4,46387,16.7,0,43.8,0.0249,50.2,66,40.7,5.052412881,Northeast
155,194.2,437.1,34842,20.5,19.27487905,46,2.32,52,59.8,42.9,6.007452513,South
5,111.3,327,38636,14.6,0,59,2.1,63.1,69.4,39.3,10.79136691,South
88,200.6,460.2,64350,10.2,0,44.5,2.57,58.1,76.5,29.2,3.667228197,South
159,149,423,75926,7.9,27.34220132,45.4,2.49,58.3,81.1,30.5,4.819607038,South
18,180.3,383.4,46331,14.8,0,45.9,2.46,53.7,65.7,31.9,9.290030211,South
41,195.7,491.5,76206,7.5,0,36.6,2.96,56.6,83.5,20.9,6.194544857,South
32,187.4,514.8,64305,8.8,0,40.7,2.66,58.5,75.6,25.5,6.631716907,South
48,190.6,446.8,45827,13.7,0,55.6,2.13,51.4,71,42.9,4.297328688,South
73,224.2,330.5,31429,26.6,0,42.8,2.52,49.8,52.5,48.8,6.208251473,South
283,136.5,364.9,122641,3.9,449.9120142,35.3,3.08,61.2,86.9,11.8,6.198748382,South
77,191,456.9,60121,11.5,0,43.7,2.64,55.1,67.4,30.2,5.015546843,South
33,189.8,404.1,37548,22.4,0,44.7,2.48,45.7,58.5,41.3,7.48049564,South
31,169.8,463.3,52513,12.3,0,44.6,2.58,52.2,65.3,33.5,6.25698324,South
27,157.1,444.9,58268,10.6,225.6826901,51.1,2.3,63.6,80.6,33.6,1.906898486,South
109,213.7,445.1,38500,21.1,289.5659728,47.2,2.41,44.4,61.7,41.1,4.664723032,South
43,206.9,525.6,48921,14.4,94.28625306,52.7,2.38,54.4,77.6,39.2,2.71468144,South
120,153.3,396.2,43484,24.8,256.00852,27.5,2.48,39.1,82.4,19.9,3.135414054,South
44,194.3,526.7,48076,13.4,0,48.4,2.33,50,69.1,36,5.74048913,South
39,201.4,454.3,72406,6.2,0,43.1,2.61,60.6,83.8,21.7,2.628490965,South
48,227.1,527.2,36822,21.5,0,48.3,2.26,46.4,56.8,41.3,6.455750321,South
49,190.5,450.4,51422,14.3,0,55.1,2.1,61,76.1,43.4,7.278020378,South
44,201.5,508,37996,24.3,0,41.5,0.0254,42.7,59.2,44.1,7.331771008,South
82,177.3,503.5,59282,10.7,0,42.6,2.66,54.7,69.9,33.9,2.100668394,South
65,199.2,430.1,44851,16.9,0,44.1,2.52,53.1,63.5,35.7,5.963302752,South
52,178.3,339.1,34885,21.9,0,48,2.31,53.5,57.4,43.9,2.944539737,South
52,175.1,459.6,75539,7.1,0,43.7,2.63,57.5,83.7,22.7,5.615292712,South
48,188.8,410.4,37543,25.5,0,32.1,2.49,36.1,69.6,30.4,7.608005083,South
59,172.1,437,61792,10.5,0,37.1,3.03,49.7,80.5,25.2,4.855936413,South
407,150.1,373.7,91886,7.2,19.92380252,34,3.17,55,78,17.1,6.857756326,South
91,185.8,390.6,46186,14.7,0,45.2,2.3,53.5,69.3,35.5,6.174957118,South
17,149.6,401.1,62800,9.3,0,49.1,2.26,63.9,68.1,31.5,5.182481752,South
22,176.2,452.4,42204,19.7,0,43.7,2.47,46.6,70.6,35.6,8.755129959,South
204,155.9,400.5,61935,8.2,21.18442098,43.5,2.4,55.7,79.6,29.1,5.4044916690000004,South
58,159.2,338,48497,13,0,48.3,2.39,55,69.3,35,6.476146578,South
157,156.1,400.2,55798,11.7,0,41.5,2.57,57,72.9,27.2,4.834403227,South
81,212,365.4,37378,17.9,0,43.8,2.51,54,56.7,43.2,3.255738239,South
69,196.1,330.8,36290,20.8,0,45.4,2.34,57.6,62.7,42.7,2.248441674,South
104,171.4,407.6,45430,12,0,43.8,2.47,55.6,68.9,33.4,7.406593407,South
92,202.4,389.1,37831,19.7,0,44.3,2.43,51.7,59.2,41.4,6.188734455,South
43,181.8,405.7,46521,15.3,0,45.4,2.53,48.3,66.8,33.3,5.455508475,South
191,172.5,449.4,75714,9.2,176.2789806,36.7,2.97,56,78.3,21.9,6.051314143,South
160,175.6,450.5,92647,5.9,0,34.7,3.08,57.4,84.1,18.4,4.9708185050000004,South
17,182.2,426.5,48707,12.9,0,47.5,2.56,53.2,65.2,31.4,4.897660819,South
30,208.4,486.9,37748,23.9,0,38.5,2.08,32,66.2,44.2,3.682946357,South
127,208.1,376.4,38292,19.2,23.31056668,43.1,2.38,53.9,59,41.7,6.033920417,South
84,202.5,428.2,60714,11.3,0,40.4,2.62,51.2,75.2,25.6,5.544668588,South
136,176.7,420.8,43353,14.5,36.63607554,44.7,2.35,53.9,67.4,37.7,5.091597145,South
49,179.9,450.9,48232,15,0,46.6,2.51,47.6,64.7,38,3.666942377,South
106,223.4,367.3,38528,21.9,0,39.8,2.46,47.5,59.7,42.3,3.651138835,South
71,175.9,433.5,41132,15.6,137.3673546,43.6,2.44,53.7,63.9,35.3,2.933713923,South
103,152.3,389.3,81169,5.5,0,39.5,2.73,61.5,87.2,20.9,4.925163106,South
165,135.4,317.6,86419,9.6,58.62772049,36,2.21,44.1,76.4,17.6,6.214827502,South
58,226.6,265.7,34099,21.8,408.3775742,41.8,2.22,46.2,57.3,42,3.86837478,South
19,240.8,578.2,38331,17.2,0,33.8,2.26,48.1,59.9,34.7,11.88769415,South
60,178.2,718.9,45890,25.9,364.8303539,29.8,0.0239,30.1,76.1,20.3,2.753790712,South
378,182.2,458.3,66625,9.8,46.72321592,36.5,2.75,52.5,77.9,24.9,5.746827092,South
43,159.3,493.6,52355,11.5,0,40,2.44,47.4,74.6,32.2,3.664122137,South
130,207.4,539,33646,23.6,356.4469369,41.8,2.2,38.7,57.2,46.1,3.236583838,South
16,137.6,447.7,125635,3.2,0,37.7,2.57,55.3,92.3,13.5,3.066180935,South
25,221.7,468,38583,22.5,0,38,2.41,34.9,59.4,40.5,4.927099045,South
39,180.3,566.3,51195,16.8,1280.318657,29.4,2.46,33.7,71.3,24.4,4.269052202,South
270,190.3,491.9,47615,15.2,168.5549709,35.4,2.51,41,69.5,31.6,4.72938218,South
51,150.5,591.1,38541,28.3,57.10152651,23.5,2.69,28.7,72.8,18.2,2.564793362,South
65,244.9,547.6,40122,19.5,0,36.9,2.53,35.3,62,38.8,5.969289827,South
165,194.5,495,40065,25,388.41277,28.7,2.37,35.6,69.1,30.4,5.96087761,South
41,155.2,364.1,72510,9.8,0,33.3,3.27,53.3,69.1,19.3,6.93416809,South
321,191.9,457.2,48440,16.7,159.0043041,32.8,2.5,41.1,68.8,29.7,5.236698785,South
393,193.6,480.5,42567,23.4,523.5538347,30,2.53,34.1,63,30.4,6.373340936,South
9,197.3,461,31620,21.6,3046.458492,39.3,2.21,43.1,59.8,42.5,3.938223938,South
88,224.4,651.3,32749,25.8,0,39.5,2.44,29.5,53.1,43.3,4.372408594,South
24,159.2,441.3,84213,5.9,0,43.8,2.59,60.3,87.7,21.8,4.361370717,South
229,218.1,473.2,43045,18.3,187.1082421,34.9,2.54,37.8,62.4,35.8,5.954956101,South
21,193.1,463.1,34267,32.4,0,22.3,2.57,25.3,76.1,22.8,1.039129729,South
406,200.2,475.4,42074,25,122.5662652,32.9,2.33,26.2,59.3,33,4.888983425,South
235,201.2,512.4,40735,20.4,430.4433567,38,2.29,38.7,59.2,36.4,6.673085779,South
63,186.6,511.5,54195,10.2,432.5259516,40.5,2.29,47.3,75.1,27.2,4.6092503990000004,South
64,176.1,537.9,42552,16.5,0,42.3,2.21,43.6,68.4,35.1,3.909798832,South
169,199.3,472,60735,13.6,11.34288404,38.3,2.75,50.4,73.4,28.9,5.719705952,South
688,168.1,435.6,67676,8.6,88.34995417,35,2.63,50.1,80,22.1,5.841796248,South
58,210.5,596.9,44843,14.6,0,38.5,2.32,47.9,61.7,37,7.446377985,South
23,162.1,1014.2,46954,20.1,0,24.6,2.37,26.2,83.3,22,2.181467181,South
59,192.8,401.9,44537,13.4,1026.242486,37,2.47,41.3,65.6,29,6.642835865,South
21,135.7,340.3,47423,19,0,28.9,3.24,56.9,45,40,9.861143799,West
60,188.3,371.3,44055,16.3,0,44.2,2.34,52.7,64.1,43.3,3.801794105,West
296,163.9,452.4,58750,14.6,462.4058768,35.5,2.72,53.5,66.6,33.8,6.253360451,West
144,154.7,451.5,49174,14,727.0900534,39.3,2.7,52.3,64.3,38,4.217134885,West
235,181.3,480.2,47185,16.2,136.0803418,50.1,2.27,50.5,63.5,45.6,5.956137583,West
